JX_FALL01: -537.106811523><434.651794434><-498.192382812><444.433288574><0><Fissures
JX_FALL02: -294.106384277><356.652008057><-379.192382812><468.433288574><0><Fissures
JX_FALL03: -59.6290512085><357.546295166><-154.73588562><448.382904053><0><Fissures
JX_FALL04: -20.5379505157><254.72769165><-37.1904029846><337.382904053><0><Fissures
JX_FALL05: -20.6820030212><154.160018921><3.92141532898><179.440383911><0><Fissures
JX_FALL06: -338.682128906><14.7061901093><-324.442382812><91.8040008545><1><Fissures
JX_FALL07: 119.611801147><212.261993408><128.728393555><312.750213623><0><Fissures
JX_FALL08: 337.085601807><97.6066894531><244.240203857><145.622314453><1><Fissures
JX_FALL09: 576.293884277><-126.768508911><478.698608398><-107.418899536><1><Fissures
JX_FALL10: 560.239379883><-442.536804199><545.782104492><-512.915527344><0><Fissures
JX_FALL11: 256.377288818><-521.674804688><200.057891846><-557.363769531><0><Fissures
JX_FALL12: -63.9226913452><-582.94140625><-53.3757019043><-587.13067627><0><Fissures
JX_FALL13: -309.116455078><-486.618988037><-190.956115723><-660.77557373><0><Fissures
JX_FALL14: -102.428787231><-447.743835449><36.3873596191><-441.838195801><0><Fissures
JX_FALL15: -204.883575439><-570.956115723><-74.1577606201><-735.595825195><1><Fissures
JX_FALL16: 165.821395874><-510.94821167><205.86819458><-691.97442627><1><Fissures
JX_FALL17: 503.211090088><-485.014221191><533.062683105><-728.057678223><1><Fissures
JX_FALL18: 259.763702393><-286.093292236><248.878601074><-315.873596191><0><Fissures
JX_FALL19: 11.3533859253><-302.349609375><18.032283783><-332.283813477><0><Fissures
JX_FALL21: -111.628097534><-248.697692871><-83.534866333><-259.465087891><1><Fissures
JX_FALLHUB: 859.524414062><-398.32220459><700.24609375><-535.879577637><1><Fissures
JX_FALLBACK: 447.414093018><-324.368408203><347.858703613><-124.13899231><1><Fissures
JX_FALLPIPE: -292.182128906><221.7059021><-335.275360107><204.387298584><1><Fissures
JX_FALLSNAGGING: -497.950866699><137.859603882><-446.813690186><174.233184814><1><Fissures
JX_FALLTRADER: -80.8798599243><235.145477295><-112.242797852><202.233612061><1><Fissures
JX_FALLTREASURE: -26.6820259094><74.1603927612><0.921358108521><65.440612793><0><Fissures
JX_RISE01: 110.986999512><147.011993408><130.290893555><186.500015259><0><Fissures
JX_RISE02: 188.141204834><267.614990234><242.551803589><308.338592529><0><Fissures
